country_code,gdp_growth_per_capita,electricity_consumption,population_growth,urbanization_rate,energy_use_per_capita,fossil_fuel_consumption,renewable_energy_gap,electricity_access,political_stability,regulatory_quality,rule_of_law,control_of_corruption,energy_imports,alternative_nuclear_energy,region
BGD,100.0,10.03,19.71,0.83,0.0,50.0,77.81,90.89,41.6,4.18,20.58,6.15,81.56,100.0,SEA
BRA,24.29,62.42,0.89,99.88,62.64,50.0,47.48,99.49,67.58,47.57,43.04,45.14,59.42,5.3,LatAm
CHL,20.82,99.3,21.18,100.0,97.9,50.0,79.09,100.0,99.98,100.0,100.0,100.0,98.76,46.16,LatAm
CIV,56.03,4.23,94.23,37.83,6.41,50.0,29.51,39.17,49.63,44.39,21.97,47.53,68.2,90.97,Africa
COL,29.01,33.36,40.92,83.41,30.92,50.0,71.33,98.74,50.61,72.02,31.63,56.84,0.0,31.46,LatAm
ETH,76.42,0.0,99.24,0.0,4.92,50.0,0.0,1.01,0.31,0.05,24.35,48.0,68.9,86.68,Africa
GHA,43.82,9.26,67.72,45.62,3.7,50.0,57.12,69.46,93.27,48.92,58.18,71.85,45.9,70.47,Africa
IDN,58.23,26.25,15.77,45.82,33.17,50.0,85.4,97.62,66.17,70.02,43.09,48.59,14.84,30.5,SEA
KEN,56.35,1.59,66.96,0.97,13.84,50.0,18.21,42.57,38.22,35.33,32.61,22.04,75.05,0.0,Africa
KHM,62.09,13.74,38.79,15.78,10.96,50.0,38.97,73.1,89.26,19.54,0.0,0.0,81.95,70.17,SEA
MAR,18.5,19.98,24.53,55.71,16.94,50.0,99.68,99.22,73.32,51.87,47.4,51.29,100.0,80.18,Africa
MEX,1.4,55.11,15.48,85.23,65.32,50.0,98.86,99.39,54.75,54.53,10.99,9.63,72.31,64.66,LatAm
MYS,37.49,100.0,39.92,79.22,100.0,50.0,100.0,100.0,100.0,98.75,99.0,97.3,62.87,88.37,SEA
NGA,0.0,0.58,75.81,52.16,1.79,50.0,0.67,14.48,0.0,0.0,0.16,0.66,1.5,99.08,Africa
PER,8.37,33.74,36.3,94.04,26.47,50.0,73.6,91.5,73.53,80.09,26.25,33.99,66.34,31.55,LatAm
PHL,52.94,17.56,23.6,41.61,13.81,50.0,75.58,91.91,48.7,65.02,22.79,40.16,90.2,0.37,SEA
SEN,35.78,5.35,95.79,37.13,0.04,50.0,63.92,35.66,86.38,43.28,42.19,80.19,99.33,98.23,Africa
THA,17.24,63.65,0.0,47.99,88.93,50.0,84.12,99.86,65.25,63.71,68.55,45.78,91.47,99.79,SEA
TZA,28.7,0.03,100.0,5.86,6.35,50.0,1.45,0.0,74.08,20.54,25.67,51.34,70.06,99.5,Africa
VNM,99.22,53.37,17.65,9.35,37.53,50.0,84.02,99.66,90.94,36.89,53.75,50.47,82.33,50.19,SEA
