indicator,gdp_growth_per_capita,gdp_growth_per_capita,gdp_growth_per_capita,gdp_growth_per_capita,gdp_growth_per_capita,gdp_growth_per_capita,electricity_consumption,electricity_consumption,electricity_consumption,electricity_consumption,electricity_consumption,electricity_consumption,population_growth,population_growth,population_growth,population_growth,population_growth,population_growth,urbanization_rate,urbanization_rate,urbanization_rate,urbanization_rate,urbanization_rate,urbanization_rate,energy_use_per_capita,energy_use_per_capita,energy_use_per_capita,energy_use_per_capita,energy_use_per_capita,energy_use_per_capita,fossil_fuel_consumption,fossil_fuel_consumption,fossil_fuel_consumption,fossil_fuel_consumption,fossil_fuel_consumption,fossil_fuel_consumption,renewable_energy_gap,renewable_energy_gap,renewable_energy_gap,renewable_energy_gap,electricity_access,electricity_access,electricity_access,electricity_access,electricity_access,electricity_access,political_stability,political_stability,political_stability,political_stability,political_stability,political_stability,regulatory_quality,regulatory_quality,regulatory_quality,regulatory_quality,regulatory_quality,regulatory_quality,rule_of_law,rule_of_law,rule_of_law,rule_of_law,rule_of_law,rule_of_law,control_of_corruption,control_of_corruption,control_of_corruption,control_of_corruption,control_of_corruption,control_of_corruption,energy_imports,energy_imports,energy_imports,energy_imports,energy_imports,energy_imports,alternative_nuclear_energy,alternative_nuclear_energy,alternative_nuclear_energy,alternative_nuclear_energy,alternative_nuclear_energy,alternative_nuclear_energy
year,2018,2019,2020,2021,2022,2023,2018,2019,2020,2021,2022,2023,2018,2019,2020,2021,2022,2023,2018,2019,2020,2021,2022,2023,2018,2019,2020,2021,2022,2023,2018,2019,2020,2021,2022,2023,2018,2019,2020,2021,2018,2019,2020,2021,2022,2023,2018,2019,2020,2021,2022,2023,2018,2019,2020,2021,2022,2023,2018,2019,2020,2021,2022,2023,2018,2019,2020,2021,2022,2023,2018,2019,2020,2021,2022,2023,2018,2019,2020,2021,2022,2023
country_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,6.44197494702485,6.97264399779152,2.58647816564581,6.07069417020969,6.00847462887278,4.4907040939439,471.126089137386,515.10173042395,509.945926958218,574.118203146015,602.674747324137,,0.820955197842845,0.84641125179804,0.836310836229073,0.814977993693211,1.02423384746683,1.22171475464107,30.5175656009959,30.8228396343012,31.1168927321524,31.3992156886061,31.673734726234,32.1578465036834,257.873889464682,273.340023331257,272.076572071717,292.487219529267,297.118356342706,,0.0,0.0,0.0,0.0,0.0,,27.0,26.1,27.2,25.0,86.9,92.2,96.2,99.0,99.4,99.5,-0.985569059848785,-0.928628742694855,-0.915816903114319,-1.03688275814056,-1.046462059021,-0.908656716346741,-0.849186778068542,-0.937222182750702,-0.906213521957397,-0.84635329246521,-0.927658915519714,-0.914152979850769,-0.649216711521149,-0.643474996089935,-0.565531194210052,-0.62569397687912,-0.601690113544464,-0.502657234668732,-0.926822602748871,-1.017209649086,-1.00371217727661,-0.986505091190338,-1.07575178146362,-1.12086641788483,24.5741159464946,30.2974940894337,34.4620400337636,39.5900689972266,44.3070258449266,,0.29,0.22,0.25,0.23,0.28,
BRA,1.09040860420944,0.562970836695342,-3.83550546624957,4.3179316178023,2.64631532426549,2.83370012768067,2640.41643831267,2661.18328561313,2624.84323723758,2723.96659104663,2787.76089640442,2916.48609397384,0.683439571425594,0.651994346081362,0.579350709708032,0.425360907216456,0.360180890872169,0.395928695574996,86.4420719945072,86.6797991084296,86.9112186503004,87.1360781715439,87.349556243881,87.6159710235763,1403.40232453429,1415.83477031974,1379.24649914162,1430.3934661032,1432.72741132919,1481.22439922518,0.0,0.0,0.0,0.0,0.0,0.0,46.9,47.5,50.0,46.5,99.7,99.8,99.7,99.5,100.0,99.8,-0.459598511457443,-0.714224636554718,-0.44689092040062,-0.419879764318466,-0.395036935806274,-0.408567786216736,-0.293125450611115,-0.121404096484184,-0.111011527478695,-0.121613994240761,-0.220437631011009,-0.29647821187973,-0.30234295129776,-0.224319815635681,-0.231919765472412,-0.301417380571365,-0.257879137992859,-0.308802843093872,-0.480954378843307,-0.40789270401001,-0.429083496332169,-0.499217957258224,-0.566354334354401,-0.503643155097961,-0.816754027000633,-4.05963612353002,-11.1677354621271,-3.84763107467013,-7.28721052757992,-13.6808969364254,14.78,15.19,15.44,14.55,16.97,17.29
CHL,2.14988195463914,-0.962096016030856,-6.98113061984451,10.824550522267,1.64877813218645,-0.0196132258928543,4172.29678141718,4218.62068793083,4166.72173286725,4306.7208858565,4422.43342670673,4322.99269005513,1.78538584857741,1.59911795256016,0.896491953505063,0.441498091207504,0.495789591494285,0.53962870957127,87.9620493753008,88.1273685623538,88.2953490438375,88.4660511664452,88.6395352768685,88.8158617217972,2067.9764736837,2154.35451877758,1946.16760616995,2032.98120427379,2124.6984823137,2039.34969353537,0.0,0.0,0.0,0.0,0.0,0.0,25.5,25.3,26.7,24.2,100.0,100.0,100.0,100.0,100.0,100.0,0.412769764661789,-0.0161215793341398,0.0440445058047771,0.161427184939384,0.13208432495594,0.13615994155407,1.30045235157013,1.15849316120148,0.948647737503052,0.936240255832672,0.978411138057709,0.925731718540192,0.940260529518127,0.924216628074646,0.930162131786346,0.889890670776367,0.688454449176788,0.625093758106232,0.958202481269836,0.97893089056015,1.10613715648651,0.9562668800354,0.968124032020569,0.968603789806366,67.6635625998358,69.2258871522885,66.7182391849769,68.8632430428331,66.2732116154234,62.2762043204213,7.7,7.61,8.76,9.12,10.64,12.02
CIV,2.05334874793748,3.96244737490909,-1.81621061689408,4.44709198559022,3.75602084648943,3.96403768538988,259.756592707161,278.827988881925,290.017976203655,308.099910201629,323.704535370651,,2.69696827034562,2.61916841176218,2.53019803537112,2.47398737434864,2.51622934953513,2.50384681190665,50.8718477756395,51.3514799771241,51.8357660823651,52.3183461956059,52.8492549676673,53.4075201638704,358.541401840133,364.149863069511,375.317183892023,468.414497630569,471.775424802239,,0.0,0.0,0.0,0.0,0.0,,60.5,61.1,61.8,58.2,67.1,68.6,69.9,71.1,72.0,72.4,-0.89799964427948,-1.036496758461,-1.03321969509125,-0.715015649795532,-0.587266504764557,-0.631788194179535,-0.254712522029877,-0.300067454576492,-0.381347745656967,-0.268797159194946,-0.152012959122658,-0.116081379354,-0.60271030664444,-0.610495507717133,-0.656908571720123,-0.661023557186127,-0.47401824593544,-0.461197137832642,-0.526206731796265,-0.563736855983734,-0.551726758480072,-0.395229250192642,-0.338705569505692,-0.313007414340973,7.79211013980921,4.60104644318652,8.14378558490739,13.2300673339274,14.3786092266282,,2.59,2.9,2.66,1.62,1.71,
COL,0.695264947238812,1.36014067984289,-8.50949477621059,9.5929782838861,6.18779953705864,-0.410230298426796,1466.90025072176,1531.81900651769,1470.27462790488,1514.11928689074,1528.08546083702,1552.83278166352,1.83913784861099,1.78615507724394,1.43632167326968,1.09642825395961,1.06829295530618,1.12092864340999,77.2804816598084,77.4595528518377,77.6382533537045,77.8339570326128,78.0464633137335,78.275571579544,816.327425217962,889.78306823908,810.052298592826,872.65899160931,851.232776568033,862.634681996071,0.0,0.0,0.0,0.0,0.0,0.0,30.4,31.5,32.0,29.7,98.5,99.4,99.7,100.0,100.0,98.7,-0.806941986083984,-0.979486107826233,-0.701150059700012,-0.954574346542358,-0.62995833158493,-0.717313230037689,0.224889174103737,0.317910939455032,0.225666418671608,0.20214469730854,0.140449166297913,0.101034268736839,-0.383742153644562,-0.391183972358704,-0.491402626037598,-0.470828503370285,-0.427760243415833,-0.458272933959961,-0.340439766645432,-0.283615678548813,-0.252498596906662,-0.365944802761078,-0.362088114023209,-0.309191286563873,-228.78509726312,-181.414112402675,-192.845620308305,-145.26017037422,-139.124198035696,-141.971675507707,12.89,10.61,10.52,12.07,12.27,11.3
ETH,3.97407545942133,5.48664148021712,3.22311599492807,2.85565763078523,2.59539967644373,3.85475025230436,91.919211356599,92.3124380650632,93.3839345037291,83.8801247645011,92.4358249132126,,2.69675179524869,2.69123978261516,2.71077284780816,2.67249538803955,2.62269500936104,2.6036241976442,20.7838096618652,21.2486705780029,21.6260051727295,22.1067085266113,22.7367687225342,23.0586471557617,384.725728343228,386.237241195762,380.656754967252,373.902183810576,377.921752731092,,0.0,0.0,0.0,0.0,0.0,,90.0,89.3,90.7,90.6,44.8,48.0,51.1,54.2,55.4,55.4,-1.27460920810699,-1.30376279354095,-1.75370299816132,-2.18383121490479,-2.07060623168945,-1.96956777572632,-0.984722435474396,-0.910632014274597,-0.975501298904419,-0.941965937614441,-0.94841742515564,-1.0210794210434,-0.444717615842819,-0.482023179531097,-0.402888596057892,-0.623265862464905,-0.635894060134888,-0.670203268527985,-0.50531792640686,-0.434498816728592,-0.389672368764877,-0.422021746635437,-0.433258950710297,-0.465061634778976,11.2365271440852,12.0449116177875,9.52569897811929,11.1448450149397,10.7924961213427,,2.88,2.89,3.0,2.91,3.15,
GHA,4.01895338314475,4.39063133478864,-1.46830801654092,3.03800270044563,1.8305124767942,1.19022304172192,444.388811977184,469.785528590296,503.546668885278,542.211680584058,552.502821188307,,2.07517136640112,2.00780519953703,1.99181985149439,1.95904584379494,1.92029034344132,1.90860289687983,55.218477566593,55.7246279109161,56.2171613974837,56.6952556826536,57.250609602871,57.8074737774654,350.473174277428,354.248843433875,367.161102921615,361.944978890071,359.179379052306,,0.0,0.0,0.0,0.0,0.0,,42.1,42.6,40.0,39.0,80.4,83.5,85.4,86.3,85.1,89.5,-0.0366430282592773,0.118526868522167,0.169901907444,0.0658524557948112,-0.195024788379669,-0.0216207038611174,-0.141936391592026,-0.185462951660156,-0.130579710006714,-0.215175911784172,-0.178818702697754,-0.18065220117569,0.0510871484875679,0.0127408038824797,-0.0821285173296928,-0.107684418559074,-0.0795473381876945,-0.0996378883719444,-0.138363629579544,-0.108660869300365,-0.127222999930382,-0.128043621778488,-0.0643710345029831,-0.0990211144089699,-33.6512710092446,-43.1680481770753,-35.645638723023,-25.7331290522235,-22.3656522253718,,4.84,5.67,5.4,5.58,6.03,
IDN,4.15930013909383,4.0413041818536,-2.89423403981894,2.97476192227879,4.52447576618876,4.16753001019646,1065.26035758244,1107.15140125038,1119.6155596619,1210.58446671469,1330.98768392036,1445.21463483986,0.969743409524713,0.935604959235128,0.849801187379341,0.704601321926319,0.746050469653246,0.842666137328498,55.0956840515137,55.7382049560547,56.2785287648768,56.8761702464027,57.4934704226599,58.1179353397878,826.038659966956,844.870039441295,848.436766186593,896.813534898965,953.65392850686,976.949985543796,0.0,0.0,0.0,0.0,0.0,0.0,22.0,19.8,21.9,20.2,98.5,98.9,97.0,99.2,100.0,99.4,-0.552034020423889,-0.502143025398254,-0.462311387062073,-0.531449198722839,-0.553894221782684,-0.404375314712524,-0.0218164678663015,0.0289513897150755,0.216156706213951,0.287561029195786,0.205959960818291,0.301378756761551,-0.314401388168335,-0.347653895616531,-0.365602731704712,-0.253444284200668,-0.1881303191185,-0.153604462742805,-0.299604296684265,-0.473498523235321,-0.454962939023972,-0.449847877025604,-0.435335576534271,-0.48687219619751,-98.0132758893818,-99.1816488656438,-86.9479731245526,-84.9370547688609,-82.9192756077432,-89.548816280588,11.66,11.35,12.4,11.89,11.75,11.51
