country_code,2018,2019,2020,2021,2022,2023
BGD,0.29,0.22,0.25,0.23,0.28,
BRA,14.78,15.19,15.44,14.55,16.97,17.29
CHL,7.7,7.61,8.76,9.12,10.64,12.02
CIV,2.59,2.9,2.66,1.62,1.71,
COL,12.89,10.61,10.52,12.07,12.27,11.3
ETH,2.88,2.89,3.0,2.91,3.15,
GHA,4.84,5.67,5.4,5.58,6.03,
IDN,11.66,11.35,12.4,11.89,11.75,11.51
KEN,17.46,17.66,17.32,16.82,17.79,18.67
KHM,5.98,4.62,4.34,5.95,6.86,
MAR,3.37,3.85,3.79,4.23,3.74,4.92
MEX,5.99,5.82,6.81,7.04,6.88,5.94
MYS,2.47,2.46,2.73,2.97,2.88,
NGA,1.08,1.05,0.97,0.95,1.08,
PER,11.48,11.38,13.17,11.71,10.24,
PHL,16.45,16.48,17.35,16.05,16.05,
SEN,0.5,0.62,1.1,1.62,1.53,1.58
THA,0.87,0.93,0.83,0.87,0.97,1.02
TZA,0.84,0.88,1.1,1.05,0.93,
VNM,8.43,6.42,7.38,9.91,11.25,
