country_code,2018,2019,2020,2021,2022,2023
BGD,-0.926822602748871,-1.017209649086,-1.00371217727661,-0.986505091190338,-1.07575178146362,-1.12086641788483
BRA,-0.480954378843307,-0.40789270401001,-0.429083496332169,-0.499217957258224,-0.566354334354401,-0.503643155097961
CHL,0.958202481269836,0.97893089056015,1.10613715648651,0.9562668800354,0.968124032020569,0.968603789806366
CIV,-0.526206731796265,-0.563736855983734,-0.551726758480072,-0.395229250192642,-0.338705569505692,-0.313007414340973
COL,-0.340439766645432,-0.283615678548813,-0.252498596906662,-0.365944802761078,-0.362088114023209,-0.309191286563873
ETH,-0.50531792640686,-0.434498816728592,-0.389672368764877,-0.422021746635437,-0.433258950710297,-0.465061634778976
GHA,-0.138363629579544,-0.108660869300365,-0.127222999930382,-0.128043621778488,-0.0643710345029831,-0.0990211144089699
IDN,-0.299604296684265,-0.473498523235321,-0.454962939023972,-0.449847877025604,-0.435335576534271,-0.48687219619751
KEN,-0.863009214401245,-0.806061267852783,-0.87534761428833,-0.734718978404999,-0.759503602981567,-0.770913004875183
KHM,-1.35710227489471,-1.32349991798401,-1.27204155921936,-1.19797551631927,-1.24161159992218,-1.29921674728394
MAR,-0.289455205202103,-0.333868354558945,-0.409950464963913,-0.41899362206459,-0.387477546930313,-0.536348581314087
MEX,-0.949163556098938,-0.917449772357941,-0.921630203723907,-1.02063989639282,-1.01208603382111,-1.02057874202728
MYS,0.299851536750793,0.232962101697922,0.228581383824348,0.146233186125755,0.248940765857697,0.295621365308762
NGA,-1.08386242389679,-1.11317050457001,-1.11856710910797,-1.10122787952423,-1.12968230247498,-1.04097437858582
PER,-0.597973227500916,-0.509501397609711,-0.524636924266815,-0.653799653053284,-0.808002054691315,-0.721040904521942
PHL,-0.576294243335724,-0.606206953525543,-0.510658323764801,-0.530111014842987,-0.541212201118469,-0.537639975547791
SEN,-0.0473760962486267,-0.00357197062112391,-0.00729532772675157,0.0423106253147125,-0.0131743038073182,0.0578322261571884
THA,-0.458226591348648,-0.47199535369873,-0.483811765909195,-0.478870928287506,-0.452444344758987,-0.489050775766373
TZA,-0.475951611995697,-0.420570701360703,-0.405753612518311,-0.39461013674736,-0.354882270097733,-0.319897323846817
VNM,-0.511843025684357,-0.546221077442169,-0.374517351388931,-0.308163285255432,-0.287254333496094,-0.415814280509949
