country_code,2018,2019,2020,2021,2022,2023
BGD,86.9,92.2,96.2,99.0,99.4,99.5
BRA,99.7,99.8,99.7,99.5,100.0,99.8
CHL,100.0,100.0,100.0,100.0,100.0,100.0
CIV,67.1,68.6,69.9,71.1,72.0,72.4
COL,98.5,99.4,99.7,100.0,100.0,98.7
ETH,44.8,48.0,51.1,54.2,55.4,55.4
GHA,80.4,83.5,85.4,86.3,85.1,89.5
IDN,98.5,98.9,97.0,99.2,100.0,99.4
KEN,61.2,69.7,71.5,76.5,76.0,76.2
KHM,80.7,84.0,86.4,82.5,92.3,95.0
MAR,98.1,99.6,100.0,100.0,100.0,100.0
MEX,99.5,99.6,99.4,100.0,100.0,99.7
MYS,100.0,100.0,100.0,100.0,100.0,100.0
NGA,56.5,55.4,55.4,59.5,60.5,61.2
PER,95.2,95.6,96.2,95.6,96.2,96.2
PHL,94.2,95.3,96.4,97.5,94.8,98.0
SEN,66.0,70.4,64.3,68.0,67.9,74.2
THA,99.8,99.9,100.0,100.0,99.9,100.0
TZA,34.9,37.7,39.9,42.7,45.8,48.3
VNM,100.0,99.4,99.8,100.0,100.0,99.8
