country_code,2018,2019,2020,2021,2022,2023
BGD,257.873889464682,273.340023331257,272.076572071717,292.487219529267,297.118356342706,
BRA,1403.40232453429,1415.83477031974,1379.24649914162,1430.3934661032,1432.72741132919,1481.22439922518
CHL,2067.9764736837,2154.35451877758,1946.16760616995,2032.98120427379,2124.6984823137,2039.34969353537
CIV,358.541401840133,364.149863069511,375.317183892023,468.414497630569,471.775424802239,
COL,816.327425217962,889.78306823908,810.052298592826,872.65899160931,851.232776568033,862.634681996071
ETH,384.725728343228,386.237241195762,380.656754967252,373.902183810576,377.921752731092,
GHA,350.473174277428,354.248843433875,367.161102921615,361.944978890071,359.179379052306,
IDN,826.038659966956,844.870039441295,848.436766186593,896.813534898965,953.65392850686,976.949985543796
KEN,546.495296692888,543.883187157453,534.753957479746,539.778643234306,541.12804988998,544.940571966597
KHM,440.94962587052,489.36782496618,516.116717657277,501.330977178892,501.644136152087,
MAR,577.178572918036,614.502733565635,575.699296767116,616.051393306028,602.994477750907,600.64391286941
MEX,1493.47882156246,1469.65350320528,1366.42722558757,1417.70559078908,1525.73516114419,1559.78994657193
MYS,2839.45244829846,2878.2988852867,2722.6031659631,2793.49953523,2867.09651939173,
NGA,299.750041448841,330.325537947057,323.130893205101,334.28545037693,333.060729584941,
PER,783.890205846973,798.439603977568,666.666363333809,775.134628731113,826.705646687846,
PHL,554.498283533215,551.866549795025,518.156775784154,530.987980701231,550.793803994865,
SEN,274.379032674082,298.559525125339,280.607903309744,294.173427358174,315.965932815121,291.050601075038
THA,1951.8556356188,1989.81234226863,1884.35073727402,1848.06336093307,1867.46968312053,1851.27231424167
TZA,402.924862138835,414.545616952925,405.685641474926,404.468789265296,405.146314827946,
VNM,885.646841787765,987.27147244039,991.281232485165,962.199524881189,1023.0571362687,
