country_code,2018,2019,2020,2021
BGD,27.0,26.1,27.2,25.0
BRA,46.9,47.5,50.0,46.5
CHL,25.5,25.3,26.7,24.2
CIV,60.5,61.1,61.8,58.2
COL,30.4,31.5,32.0,29.7
ETH,90.0,89.3,90.7,90.6
GHA,42.1,42.6,40.0,39.0
IDN,22.0,19.8,21.9,20.2
KEN,68.7,68.1,69.0,67.7
KHM,58.1,53.0,51.4,52.4
MAR,10.9,10.7,11.1,10.9
MEX,10.3,10.3,12.3,13.0
MYS,5.3,5.7,7.0,7.5
NGA,80.8,80.1,81.8,80.3
PER,27.9,27.1,31.6,30.6
PHL,27.6,26.9,29.1,28.0
SEN,34.2,36.2,38.7,35.4
THA,23.7,23.9,20.9,19.0
TZA,81.3,80.4,80.8,78.3
VNM,24.3,20.4,18.9,24.2
